Juego; Calificacion Critico; Calificacion Usuario; Promedio
Super Mario RPG;;;0
WarioWare: Move It!;;;0
Super Mario Bros. Wonder;;;0
Detective Pikachu Returns;;;0
Fae Farm;;;0
Pikmin 4;87;9.0;48
Pokemon Sleep;;;0
Mario Kart 8 Deluxe: Booster Course Pass - Wave 5;74;7.6;40
Everybody 1-2-Switch!;56;5.4;30
Pikmin 1;82;8.4;45
Pikmin 2;65;8.6;36
Pikmin 1 + 2;80;8.5;44
The Legend of Zelda: Tears of the Kingdom;96;8.2;52
Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed;92;8.8;50
Advance Wars 1 + 2: Re-Boot Camp;82;8.1;45
Fire Emblem Engage: Expansion Pass Wave 4;;;0
Bayonetta Origins: Cereza and the Lost Demon;81;8.6;44
Mario Kart 8 Deluxe: Booster Course Pass - Wave 4;86;7.8;46
Fire Emblem Engage: Expansion Pass Wave 3;;;0
Splatoon 3: Expansion Pass Wave 1 - Inkopolis;;;0
Kirby's Return to Dream Land Deluxe;79;8.8;43
Xenoblade Chronicles 3: Expansion Pass Wave 3;;;0
Fire Emblem Engage: Expansion Pass Wave 2;;;0
Metroid Prime Remastered;94;8.7;51
Fire Emblem Engage;80;6.6;43
Fire Emblem Engage: Expansion Pass Wave 1;;;0
Mario Kart 8 Deluxe: Booster Course Pass - Wave 3;83;7.3;45
Pokemon Violet;71;4.0;37
Pokemon Scarlet;72;3.4;37
Pokemon Scarlet / Pokemon Violet Dual Pack Steelbook Edition;;8.0;0
Bayonetta 3;86;7.1;46
Xenoblade Chronicles 3: Expansion Pass Wave 2;;;0
Splatoon 3;83;6.8;44
Kirby's Dream Buffet;67;7.3;37
Mario Kart 8 Deluxe: Booster Course Pass - Wave 2;77;6.8;41
Xenoblade Chronicles 3;89;8.5;48
Live A Live;81;7.5;44
Fire Emblem Warriors: Three Hopes;80;8.9;44
Mario Strikers: Battle League;73;4.4;38
Nintendo Switch Sports;72;5.9;38
Kirby and the Forgotten Land;85;8.9;46
Mario Kart 8 Deluxe: Booster Course Pass - Wave 1;73;6.8;39
Pokemon Legends: Arceus;83;8.1;45
Big Brain Academy: Brain vs. Brain;73;8.1;40
Disney Magical World 2: Enchanted Edition;69;7.0;38
Pokemon Brilliant Diamond;73;5.3;39
Pokemon Shining Pearl;73;5.5;39
Pokemon Brilliant Diamond / Pokemon Shining Pearl Double Pack;;6.4;0
Animal Crossing: New Horizons - Happy Home Paradise;82;7.9;44
Mario Party Superstars;80;8.0;44
Hyrule Warriors: Age of Calamity - Guardian of Remembrance;;;0
Pikmin Bloom;65;6.0;35
Minecraft Dungeons: Ultimate Edition;;7.1;0
Super Smash Bros. Ultimate: Sora;;6.8;0
Metroid Dread;88;8.7;48
WarioWare: Get It Together!;76;7.7;41
The Legend of Zelda: Skyward Sword HD;81;7.3;44
Fitness Boxing 2: Rhythm & Exercise - Musical Journey;;;0
Super Smash Bros. Ultimate: Kazuya;;;0
Mario Golf: Super Rush;70;5.5;37
Hyrule Warriors: Age of Calamity - Pulse of the Ancients;67;8.2;37
Game Builder Garage;77;7.8;42
DC Super Hero Girls: Teen Power;66;6.7;36
Miitopia;71;8.1;39
Famicom Detective Club: The Missing Heir;74;7.1;40
Famicom Detective Club: The Girl Who Stands Behind;74;7.1;40
New Pokemon Snap;79;6.9;42
Super Smash Bros. Ultimate: Pyra / Mythra;;7.7;0
Project Triangle Strategy Debut Demo;;;0
Super Mario 3D World + Bowser's Fury;89;8.7;48
Super Smash Bros. Ultimate: Sephiroth;;7.7;0
Fitness Boxing 2: Rhythm & Exercise;66;5.7;35
Fire Emblem: Shadow Dragon & the Blade of Light;63;7.8;35
Hyrule Warriors: Age of Calamity;78;8.0;43
Pokemon Sword + Pokemon Sword Expansion Pass;;6.5;0
Pokemon Shield + Pokemon Shield Expansion Pass;;6.4;0
Pikmin 3 Deluxe;85;8.6;46
Part Time UFO;78;7.5;42
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Complete Edition;;8.8;0
Pokemon Sword / Shield: The Crown Tundra;75;7.1;41
Mario Kart Live: Home Circuit;75;7.1;41
Super Smash Bros. Ultimate: Steve & Alex;;7.6;0
Mario Kart 8 Deluxe + Super Mario Party;;;0
Super Mario Bros. 35;75;7.6;41
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 3 Story Pack: Symphony of the Mask;;;0
Kirby Fighters 2;65;7.9;36
Super Mario 3D All-Stars;82;6.4;44
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 2 Melody Pack;;;0
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 1 Character Pack;;;0
Paper Mario: The Origami King;80;7.0;43
Super Smash Bros. Ultimate: Min Min;;8.2;0
Pokemon Cafe Mix;64;6.2;35
Pokemon Sword / Shield: The Isle of Armor;69;5.2;37
Jump Rope Challenge;;6.9;0
Clubhouse Games: 51 Worldwide Classics;82;7.7;44
Xenoblade Chronicles: Definitive Edition;89;8.8;48
Arcade Archives: Vs. Wrecking Crew;;;0
Marvel Ultimate Alliance 3: The Black Order - Expansion 3 - Fantastic Four: Shadow of Doom;;7.9;0
Good Job!;78;8.0;43
Animal Crossing: New Horizons;90;5.6;47
Pokemon Mystery Dungeon: Rescue Team DX;69;8.1;38
Luigi's Mansion 3: Multiplayer Pack 1 & 2;;;0
Fire Emblem: Three Houses - Side Story: Cindered Shadows;75;8.1;41
Pokemon HOME;;3.9;0
Pokemon HOME;;3.1;0
Super Smash Bros. Ultimate: Byleth;;7.1;0
Tokyo Mirage Sessions #FE Encore;81;6.2;43
Dr. Kawashima's Brain Training for Nintendo Switch;64;6.4;35
Arcade Archives: Vs. Balloon Fight;;;0
Marvel Ultimate Alliance 3: The Black Order - Expansion 2: Rise of the Phoenix;;;0
Pokemon Shield;80;4.7;42
Pokemon Sword;80;4.7;42
Pokemon Sword / Shield Dual Pack;80;4.4;42
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy - Deluxe Edition;73;6.8;39
The Stretchers;75;7.2;41
Super Smash Bros. Ultimate: Terry Bogard;;7.6;0
Luigi's Mansion 3;86;8.4;47
Ring Fit Adventure;83;8.6;45
Little Town Hero;64;4.7;34
Marvel Ultimate Alliance 3: The Black Order - Expansion 1: Curse of the Vampire;;;0
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition;91;8.6;49
Mario Kart Tour;59;4.2;31
The Legend of Zelda: Link's Awakening;87;8.4;47
Daemon X Machina;69;7.6;38
Super Smash Bros. Ultimate: Banjo & Kazooie;;8.1;0
Super Kirby Clash;74;7.5;40
Arcade Archives: Pinball;;;0
Astral Chain;87;8.9;47
Super Smash Bros. Ultimate: Hero;;7.8;0
Fire Emblem: Three Houses;89;8.8;48
Marvel Ultimate Alliance 3: The Black Order;73;7.3;40
Dr. Mario World;58;3.4;30
Arcade Archives: Clu Clu Land;;;0
Super Mario Maker 2;88;8.5;48
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda;85;8.0;46
Nintendo Labo: Toycon 04 VR Kit;71;6.6;38
Tetris 99: Big Block;;5.9;0
BoxBoy! + BoxGirl!;81;8.0;44
Super Smash Bros. Ultimate: Joker;;8.1;0
Yoshi's Crafted World;79;7.8;43
Captain Toad: Treasure Tracker - Special Episode;81;8.2;44
